"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:7om4cPXzc1eEKF2bCwCF11","Tennessee","spotify:artist:5Va9LuEmaZxnbk1gMnjMD7","Arrested Development","spotify:album:0eADZyYFxszPClbtlQcDju","90's Hits","2008-01-01","https://i.scdn.co/image/ab67616d0000b2739268a0f5f8025a8c6e78dd51","1","14","272706","https://p.scdn.co/mp3-preview/42ff8b8052e12751a6365d40e03c4fb9ad777ac0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","spotify:user:erikkellogg","2016-07-29T19:29:02Z","alternative hip hop,atl hip hop,conscious hip hop,hip hop,rap","0.815","0.851","1","-3.667","0","0.178","0.0284","0","0.343","0.674","99.915","4","","Capitol Records","C © 2008 Capitol Records, LLC, P This Compilation ℗ 2008 Capitol Records, LLC"
"spotify:track:2OGBDP8x4tAmljSGAQb8BG","Cantaloop (Flip Fantasia)","spotify:artist:4LtIfuFeAamus9OOItuWDD, spotify:artist:2cNCyL3WSlAatld5duatyD, spotify:artist:5A8UenAZRv51yZVv13nFQo","Us3, Rahsaan, Gerard Presencer","spotify:album:0eADZyYFxszPClbtlQcDju","90's Hits","2008-01-01","https://i.scdn.co/image/ab67616d0000b2739268a0f5f8025a8c6e78dd51","1","15","279266","https://p.scdn.co/mp3-preview/dea8496aeaa2531c4ddd6871786412e774ad2f1d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","spotify:user:erikkellogg","2016-07-29T19:29:45Z","electronica,jazz rap,nu jazz,jazz trumpet","0.852","0.732","5","-8.652","0","0.0532","0.0999","0.0000291","0.143","0.947","115.978","4","","Capitol Records","C © 2008 Capitol Records, LLC, P This Compilation ℗ 2008 Capitol Records, LLC"
"spotify:track:5lA3pwMkBdd24StM90QrNR","P.Y.T. (Pretty Young Thing)","spotify:artist:3fMbdgg4jU18AjLCKBhRSm","Michael Jackson","spotify:album:1C2h7mLntPSeVYciMRTF4a","Thriller 25 Super Deluxe Edition","1982-11-30","https://i.scdn.co/image/ab67616d0000b2734121faee8df82c526cbab2be","1","8","238733","https://p.scdn.co/mp3-preview/575230ca230ab7a79f1b2980e303d7f1612073f3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","spotify:user:erikkellogg","2016-07-29T20:16:31Z","pop,r&b,soul","0.888","0.815","11","-4.909","0","0.0404","0.23","0.000424","0.127","0.961","127.273","4","","Epic/Legacy","P (P) 1982, 2001, 2008 MJJ Productions Inc."
"spotify:track:5FR54UnizyI8pE5E9Zb0Dt","Pony","spotify:artist:7r8RF1tN2A4CiGEplkp1oP","Ginuwine","spotify:album:4cEX2rhss4PBg5EU5Vs0Uj","Ginuwine... The Bachelor","1996-10-08","https://i.scdn.co/image/ab67616d0000b273dcdd9491f951ab39df5d203f","1","2","324800","https://p.scdn.co/mp3-preview/7fa94bfae57dfe562f129f955dc2076378e104ef?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","spotify:user:erikkellogg","2016-07-30T03:19:02Z","dance pop,hip hop,hip pop,neo soul,new jack swing,r&b,southern hip hop,urban contemporary","0.544","0.648","8","-8.079","0","0.29","0.0068","0.000919","0.503","0.956","142.026","4","","550 Music - Epic","P (P) 1996 SONY BMG MUSIC ENTERTAINMENT"
"spotify:track:6qspW4YKycviDFjHBOaqUY","Waterfalls","spotify:artist:0TImkz4nPqjegtVSMZnMRq","TLC","spotify:album:5eg56dCpFn32neJak2vk0f","Crazysexycool","1994-11-15","https://i.scdn.co/image/ab67616d0000b273a6125b1964a555892c49ea53","1","8","279506","https://p.scdn.co/mp3-preview/0d6910587f1e6081f7016d8bc2ec7ab94cf5f0fe?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","spotify:user:erikkellogg","2016-07-30T03:19:24Z","atl hip hop,dance pop,girl group,hip hop,hip pop,new jack swing,pop,pop rap,r&b,urban contemporary","0.77","0.505","1","-7.345","1","0.0828","0.311","0.000074","0.0777","0.757","171.798","4","","Arista/LaFace Records","P (P) 1994 LaFace Records LLC"
"spotify:track:6MdqqkQ8sSC0WB4i8PyRuQ","No Diggity","spotify:artist:2P3cjUru4H3fhSXXNxE9kA, spotify:artist:6DPYiyq5kWVQS4RGwxzPC7, spotify:artist:0VbIlorLz3I5SEtIsc5vAr","Blackstreet, Dr. Dre, Queen Pen","spotify:album:2zGZLQiFl9UubtrVmtIkbi","Another Level","1996-09-09","https://i.scdn.co/image/ab67616d0000b27303ca37157b9ceefbe8fe225b","1","3","304600","https://p.scdn.co/mp3-preview/c216640c68846d6587123371495115e119b53f0d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","spotify:user:erikkellogg","2016-07-30T03:22:08Z","boy band,dance pop,hip hop,hip pop,neo soul,new jack swing,pop rap,quiet storm,r&b,rap,urban contemporary,g funk,gangster rap,hip hop,rap,west coast rap,hip pop,lgbtq+ hip hop","0.867","0.646","1","-4.674","0","0.288","0.303","0","0.279","0.67","88.634","4","","Interscope","C © 1996 Interscope Records, P ℗ 1996 Interscope Records"
"spotify:track:2oTDOIAdsxPTE7yAp4YOcv","Jump Around","spotify:artist:0AuW7OCyKfFrsMbtHrYgIV","House Of Pain","spotify:album:6aQe8pwmbv89DodASvyuSq","House Of Pain (US Release)","1992","https://i.scdn.co/image/ab67616d0000b273348ca7b868944b4b35bf485d","1","2","214946","","false","0","spotify:user:erikkellogg","2016-07-30T03:22:58Z","gangster rap,hardcore hip hop,hip hop,rap,west coast rap","0.854","0.71","4","-6.32","0","0.0793","0.0113","0.0000872","0.166","0.818","106.894","4","","Rhino","C 2004 Atlantic Recording Corp. Manufactured & Marketed by Warner Strategic Marketing, P 2004 Atlantic Recording Corp. Manufactured & Marketed by Warner Strategic Marketing"
"spotify:track:6TbDjOtgqxBMTesiMfz7Qj","I'm Too Sexy","spotify:artist:15ajdFAi5bjj5pS9laBfBL","Right Said Fred","spotify:album:0QEWU8VGwtNs6ZGqbEoj9Y","Fredhead","2001","https://i.scdn.co/image/ab67616d0000b273182c64c2262a07635852081f","1","15","162600","","true","0","spotify:user:erikkellogg","2016-07-30T03:23:13Z","dance pop,eurodance,europop,hip house,pop dance","0.772","0.59","9","-9.182","1","0.07","0.0153","0.000171","0.347","0.962","128.016","4","","King Size","P (P)2001 BMG Berlin Musik GmbH/Kingsize"
"spotify:track:5EEOjaJyWvfMglmEwf9bG3","Regulate","spotify:artist:2B4ZHz4QDWJTXPFPgO5peE, spotify:artist:1Oa0bMld0A3u5OTYfMzp5h","Warren G, Nate Dogg","spotify:album:5Gs0hhZRYlR3kouHqFsrkV","Regulate G Funk (Enhanced Reissue)","1994-06-07","https://i.scdn.co/image/ab67616d0000b27360f2187ff07137536274bace","1","1","250868","https://p.scdn.co/mp3-preview/5883361a0af57827d8f7bb78688bf5ea0709551f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","spotify:user:erikkellogg","2016-07-30T03:23:18Z","g funk,gangster rap,hardcore hip hop,hip hop,pop rap,rap,west coast rap,g funk,gangster rap,hip hop,pop rap,rap,west coast rap","0.832","0.588","11","-10.88","0","0.248","0.4","0","0.104","0.716","95.309","4","","Rush Associated Labels Inc.","C (C) 1994 Rush Associated Labels Inc., P (P) 1994 Rush Associated Labels Inc."
"spotify:track:0V9CF315TMGEvOWXQBNuUO","Boombastic","spotify:artist:5EvFsr3kj42KNv97ZEnqij","Shaggy","spotify:album:7pQBEwqMuSDCzqCiEOBDIi","The Best Of Shaggy","2008-01-01","https://i.scdn.co/image/ab67616d0000b2735e6613d5189af7fe64118add","1","1","250200","https://p.scdn.co/mp3-preview/9c59e79cecdaddaf0eb5de94ce8d83e718799b5e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","spotify:user:erikkellogg","2016-07-30T03:23:24Z","dance pop,pop rap,reggae fusion","0.854","0.793","2","-8.25","1","0.25","0.238","0.0000127","0.356","0.796","158.554","4","","Virgin Records","C © 2008 Virgin Records America, Inc., P This Compilation ℗ 2008 Virgin Records America, Inc."
